,time,device,type,logMessage,details
0,02/25/2021 06:18:08.07,SW1,Info:vlan.dbg.info,02/25/2021 06:18:08.07 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:18:08.07"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:18:08.07,SW1,Warn:STP.EnblPortTimerExp,02/25/2021 06:18:08.07 <Warn:STP.EnblPortTimerExp> Port (25) is re-enabled as the disable time out has expired.,"{""time"": ""02/25/2021 06:18:08.07"", ""type"": ""Warn:STP.EnblPortTimerExp"", ""action"": ""re-enable"", ""port"": ""25""}"
0,02/25/2021 06:15:22.68,SW1,Info:vlan.dbg.info,02/25/2021 06:15:22.68 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:15:22.68"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:15:21.08,SW1,Info:vlan.dbg.info,02/25/2021 06:15:21.08 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:15:21.08"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:11:58.94,SW1,Info:vlan.dbg.info,02/25/2021 06:11:58.94 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:11:58.94"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:11:57.35,SW1,Info:vlan.dbg.info,02/25/2021 06:11:57.35 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:11:57.35"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:08:35.20,SW1,Info:vlan.dbg.info,02/25/2021 06:08:35.20 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:08:35.20"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:08:33.60,SW1,Info:vlan.dbg.info,02/25/2021 06:08:33.60 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:08:33.60"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:08:08.28,SW1,Info:vlan.msgs.portLinkStateDown,02/25/2021 06:08:08.28 <Info:vlan.msgs.portLinkStateDown> Port 25 link down,"{""time"": ""02/25/2021 06:08:08.28"", ""type"": ""Info:vlan.msgs.portLinkStateDown"", ""action"": ""link down"", ""port"": ""25""}"
0,02/25/2021 06:08:08.10,SW1,Info:vlan.dbg.info,02/25/2021 06:08:08.10 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:08:08.10"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:08:08.10,SW1,Warn:STP.DsblPortBrdgDtect,02/25/2021 06:08:08.10 <Warn:STP.DsblPortBrdgDtect> BPDU Restrict Port (25) has received a bpdu and will be shutdown.,"{""time"": ""02/25/2021 06:08:08.10"", ""type"": ""Warn:STP.DsblPortBrdgDtect"", ""action"": ""shutdown"", ""port"": ""25""}"
0,02/25/2021 06:08:08.09,SW1,Info:vlan.msgs.portLinkStateUp,02/25/2021 06:08:08.09 <Info:vlan.msgs.portLinkStateUp> Port 25 link UP at speed 1 Gbps and full-duplex,"{""time"": ""02/25/2021 06:08:08.09"", ""type"": ""Info:vlan.msgs.portLinkStateUp"", ""action"": ""link UP"", ""port"": ""25"", ""speed"": ""1 Gbps"", ""mode"": ""full-duplex""}"
0,02/25/2021 06:08:02.81,SW1,Info:vlan.dbg.info,02/25/2021 06:08:02.81 <Info:vlan.dbg.info> Toggling AdminState on Port 25 with pif 0x5df7f0,"{""time"": ""02/25/2021 06:08:02.81"", ""type"": ""Info:vlan.dbg.info"", ""action"": ""Toggling AdminState"", ""port"": ""25"", ""pif"": ""0x5df7f0""}"
0,02/25/2021 06:08:02.81,SW1,Warn:STP.EnblPortTimerExp,02/25/2021 06:08:02.81 <Warn:STP.EnblPortTimerExp> Port (25) is re-enabled as the disable time out has expired.,"{""time"": ""02/25/2021 06:08:02.81"", ""type"": ""Warn:STP.EnblPortTimerExp"", ""action"": ""re-enable"", ""port"": ""25""}"
0,02/25/2021 06:05:05.45,SW1,Info:vlan.dbg.info,02/25/2021 06:05:05.45 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:05:05.45"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:05:03.86,SW1,Info:vlan.dbg.info,02/25/2021 06:05:03.86 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:05:03.86"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:01:41.72,SW1,Info:vlan.dbg.info,02/25/2021 06:01:41.72 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 06:01:41.72"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 06:01:40.13,SW1,Info:vlan.dbg.info,02/25/2021 06:01:40.13 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 06:01:40.13"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
0,02/25/2021 06:00:15.61,SW1,Info:AAA.authPass,02/25/2021 06:00:15.61 <Info:AAA.authPass> Login passed for user admin through serial,"{""time"": ""02/25/2021 06:00:15.61"", ""type"": ""Info:AAA.authPass"", ""login/out_state"": ""passed""}"
0,02/25/2021 06:00:05.18,SW1,Warn:AAA.authFail,02/25/2021 06:00:05.18 <Warn:AAA.authFail> Login failed due to invalid username/password for user admin through serial,"{""time"": ""02/25/2021 06:00:05.18"", ""type"": ""Warn:AAA.authFail"", ""login/out_state"": ""failed""}"
0,02/25/2021 05:59:53.01,SW1,Warn:AAA.authFail,02/25/2021 05:59:53.01 <Warn:AAA.authFail> Previous message repeated 2 additional times in the last 5 second(s),"{""time"": ""02/25/2021 05:59:53.01"", ""type"": ""Warn:AAA.authFail"", ""login/out_state"": ""message repeated 2 additional times""}"
0,02/25/2021 05:58:18.01,SW1,Info:vlan.dbg.info,02/25/2021 05:58:18.01 <Info:vlan.dbg.info> Media 1000T is inserted into Port 25,"{""time"": ""02/25/2021 05:58:18.01"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""insert"", ""port"": ""25""}"
0,02/25/2021 05:58:16.41,SW1,Info:vlan.dbg.info,02/25/2021 05:58:16.41 <Info:vlan.dbg.info> Media 1000T is removed from Port 25,"{""time"": ""02/25/2021 05:58:16.41"", ""type"": ""Info:vlan.dbg.info"", ""Media"": ""1000T"", ""action"": ""remove"", ""port"": ""25""}"
